Kode Produk;Nama Produk;Nama Material;Jumlah Per Karton;Satuan
;;;;
4010101002;WETKINS BABY BLUE 5S @384;JR FN 40-76 H 30% R/70%P 28 CM;1,344;KG
;;CARTON BOX HOUSE BRAND 10S ;1;PCS
;;PACKAGING WKN BABY BLUE 5S @10909;384;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;384;PCS
;;PLASTIK PP 16X25CM ;0,08672;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,00399168;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,006386688;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,01197504;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,0066528;KG
;;PARFUM PREMIUM LD ;0,00798336;KG
;;CHEMICAL AQUADEST ;5,285250432;KG
;;;;
3050101002;WIP WETKINS BABY BLUE 10S ;JR 40-76 H 20% R/80%P 36 CM ADPZ40;1,01088;KG
;;PACKAGING WKN BLUE 10S DOFF  @6250;108;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;108;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,001870128;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,004488307;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,008415576;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,005610384;KG
;;PARFUM PREMIUM LD ;0,00467532;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,011220768;KG
;;CHEMICAL AQUADEST ;3,703975517;KG
;;;;
4010102001;WETKINS BABY BLUE 10S @12X9;WIP WETKINS BABY BLUE 10S ;108;PCK
;;CARTON BOX WETKINS 10S @108 ;1;PCS
;;PLASTIK PP 20X31 CM ;0,03771;KG
;;;;
4010102002;WETKINS BABY BLUE 10S BND @54X2;JR FN 40-76 H 30% R/70%P 27 CM;1,07892;KG
;;CARTON BOX WETKINS 10S @108 ;1;PCS
;;PACKAGING WKN BLUE 10S DOFF  @6250;108;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;108;PCS
;;PLASTIK BANDED 10S ;54;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003204392;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005127028;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,009613177;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,005340654;KG
;;PARFUM PREMIUM LD ;0,006408785;KG
;;CHEMICAL AQUADEST ;4,242829164;KG
;;;;
4010103001;WETKINS BABY BLUE 24S @54;JR FN 40-76 H 30% R/70%P 27 CM;1,294704;KG
;;CARTON BOX HOUSE BRAND 10S ;1;PCS
;;PACKAGING WKN BABY BLUE 24S @6060;54;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;54;PCS
;;KERTAS LABEL FOOD GRADE ALOE VERA ;54;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003845271;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,006152433;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,011535813;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,006408785;KG
;;PARFUM PREMIUM LD ;0,007690542;KG
;;CHEMICAL AQUADEST ;5,091394997;KG
;;;;
4010103002;WETKINS BABY BLUE 24S BND @27X2;JR FN 40-76 H 30% R/70%P 27 CM;1,294704;KG
;;CARTON BOX SINGLE WALL 10S & 24S NO 4 ;1;PCS
;;PACKAGING WKN BABY BLUE 24S @6060;6;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;6;PCS
;;KERTAS LABEL FOOD GRADE ALOE VERA ;6;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003845271;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,006152433;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,011535813;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,006408785;KG
;;PARFUM PREMIUM LD ;0,007690542;KG
;;CHEMICAL AQUADEST ;5,091394997;KG
;;;;
4010103003;WETKINS BABY BLUE 24S @6;JR FN 40-76 H 30% R/70%P 27 CM;0,143856;KG
;;CARTON BOX HOUSE BRAND 10S ;1;PCS
;;PACKAGING WKN BABY BLUE 24S @6060;54;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;54;PCS
;;PLASTIK BANDED 24S ;27;PCS
;;KERTAS LABEL FOOD GRADE ALOE VERA ;54;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003845271;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,006152433;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,011535813;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,006408785;KG
;;PARFUM PREMIUM LD ;0,007690542;KG
;;CHEMICAL AQUADEST ;5,091394997;KG
;;;;
4010104001;WETKINS BABY BLUE 50S @24;JR FN 40-76 H 20% R/80%P 36 CM;1,1232;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WETKINS BABY BLUE 50S @5714;24;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003428568;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005485709;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,010285704;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00571428;KG
;;PARFUM PREMIUM LD ;0,006857136;KG
;;CHEMICAL AQUADEST ;4,539652603;KG
;;;;
3050101001;WIP WETKINS BABY BLUE 50S ;JR 40-76 H 20% R/80%P 36 CM ADPZ40;1,1232;KG
;;PACKAGING WETKINS BABY BLUE 50S @5714;24;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,002078;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,004987;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,009351;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,005195;KG
;;PARFUM PREMIUM LD ;0,006234;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,012468;KG
;;CHEMICAL AQUADEST ;4,115528;KG
;;;;
4010104002;WETKINS BABY BLUE 50S BND @12X2;WIP WETKINS BABY BLUE 50S ;24;PCK
;;CARTON BOX WETKINS 50S ;1;PCS
;;PARTISI COAK 1 205 X 190 MM WETKINS 50S  ;1;PCS
;;PARTISI COAK 1 355 X 190 MM WETKINS 50S  ;1;PCS
;;POLYBAG WETKINS BLUE 50S BND 06/22 @4615;12;PCS
;;;;
4010104008;WETKINS BABY BLUE 50S BND OL @18X2;JR FN 40-76 H 20% R/80%P 36 CM;1,6848;KG
;;CARTON BOX LACTACYD FEMININE HGN 10S ;1;PCS
;;PACKAGING WETKINS BABY BLUE 50S @5714;36;PCS
;;POLYBAG WETKINS BLUE 50S @4615;18;PCS
;;STC LABEL QR ;18;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;36;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,005142852;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,008228563;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,015428556;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00857142;KG
;;PARFUM PREMIUM LD ;0,010285704;KG
;;CHEMICAL AQUADEST ;6,809478905;KG
;;;;
4010104003;WETKINS BABY BLUE 50S FT @24;JR FN 40-76 H 20% R/80%P 36 CM;1,1232;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WETKINS BABY BLUE 50S @5714;24;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;24;PCS
;;PLASTIK BANDED BABY BLUE 50S 1/22 ;12;PCS
;;STC LABEL QR ;12;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003428568;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005485709;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,010285704;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00571428;KG
;;PARFUM PREMIUM LD ;0,006857136;KG
;;CHEMICAL AQUADEST ;4,539652603;KG
;;;;
4010104004;WETKINS BABY BLUE 50S FT @14;JR FN 40-76 H 20% R/80%P 36 CM;0,6552;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;PACKAGING WETKINS BABY BLUE 50S @5714;24;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;24;PCS
