4010101001;Nama Produk;;Nama Material;;Jumlah Per Karton;Satuan
;;;;;;
4010101002;WETKINS BABY BLUE 5S @384;3020301006;JR FN 40-76 H 30% R/70%P 28 CM;;1,344;KG
;;2010717001;CARTON BOX HOUSE BRAND 10S ;;1;PCS
;;2010102001;PACKAGING WKN BABY BLUE 5S @10909;;384;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;384;PCS
;;2010607006;PLASTIK PP 16X25CM ;;0,08672;KG
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,00399168;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,006386688;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;0,01197504;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,0066528;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;0,00798336;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;5,285250432;KG
;;;;;;
3050101002;WIP WETKINS BABY BLUE 10S ;3020303010;JR 40-76 H 20% R/80%P 36 CM ADPZ40;;1,01088;KG
;;2010103002;PACKAGING WKN BLUE 10S DOFF  @6250;;108;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;108;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,05%;0,001870128;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,004488307;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;0,008415576;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,005610384;KG
;;1050200021;PARFUM PREMIUM LD ;0,13%;0,00467532;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,30%;0,011220768;KG
;;1050100037;CHEMICAL AQUADEST ;99,03%;3,703975517;KG
;;;;;;
4010102001;WETKINS BABY BLUE 10S @12X9;3050101002;WIP WETKINS BABY BLUE 10S ;;108;PCK
;;2010716002;CARTON BOX WETKINS 10S @108 ;;1;PCS
;;2010607001;PLASTIK PP 20X31 CM ;;0,03771;KG
;;;;;;
4010102002;WETKINS BABY BLUE 10S BND @54X2;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;1,07892;KG
;;2010716002;CARTON BOX WETKINS 10S @108 ;;1;PCS
;;2010103002;PACKAGING WKN BLUE 10S DOFF  @6250;;108;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;108;PCS
;;2010601001;PLASTIK BANDED 10S ;;54;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003204392;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,005127028;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;0,009613177;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,005340654;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;0,006408785;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;4,242829164;KG
;;;;;;
4010103001;WETKINS BABY BLUE 24S @54;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;1,294704;KG
;;2010717001;CARTON BOX HOUSE BRAND 10S ;;1;PCS
;;2010104001;PACKAGING WKN BABY BLUE 24S @6060;;54;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;54;PCS
;;2010500004;KERTAS LABEL FOOD GRADE ALOE VERA ;;54;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003845271;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,006152433;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;0,011535813;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,006408785;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;0,007690542;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;5,091394997;KG
;;;;;;
4010103002;WETKINS BABY BLUE 24S BND @27X2;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;1,294704;KG
;;2010717007;CARTON BOX SINGLE WALL 10S & 24S NO 4 ;;1;PCS
;;2010104001;PACKAGING WKN BABY BLUE 24S @6060;;6;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;6;PCS
;;2010500004;KERTAS LABEL FOOD GRADE ALOE VERA ;;6;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003845271;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,006152433;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;0,011535813;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,006408785;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;0,007690542;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;5,091394997;KG
;;;;;;
4010103003;WETKINS BABY BLUE 24S @6;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;0,143856;KG
;;2010717001;CARTON BOX HOUSE BRAND 10S ;;1;PCS
;;2010104001;PACKAGING WKN BABY BLUE 24S @6060;;54;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;54;PCS
;;2010601002;PLASTIK BANDED 24S ;;27;PCS
;;2010500004;KERTAS LABEL FOOD GRADE ALOE VERA ;;54;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003845271;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,006152433;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;0,011535813;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,006408785;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;0,007690542;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;5,091394997;KG
;;;;;;
4010104001;WETKINS BABY BLUE 50S @24;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,1232;KG
;;2010716003;CARTON BOX WETKINS 50S ;;1;PCS
;;2010106001;PACKAGING WETKINS BABY BLUE 50S @5714;;24;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;24;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003428568;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,005485709;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;0,010285704;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,00571428;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;0,006857136;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;4,539652603;KG
;;;;;;
3050101001;WIP WETKINS BABY BLUE 50S ;3020303010;JR 40-76 H 20% R/80%P 36 CM ADPZ40;;1,1232;KG
;;2010106001;PACKAGING WETKINS BABY BLUE 50S @5714;;24;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;24;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,05%;0,002078;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,004987;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;0,009351;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,005195;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;0,006234;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,30%;0,012468;KG
;;1050100037;CHEMICAL AQUADEST ;99,03%;4,115528;KG
;;;;;;
